Title,Keywords,Result,Method,Material,ResearchProblem,RQ
A Comparative Study of Competency Question Elicitation Methods from Ontology Requirements,"Knowledge engineering
Competency questions
Large Language Models",A comparative analysis of different competency question elicitation methods from ontology requirements.,Comparative study likely involving evaluation or analysis of various competency question elicitation methods.,Ontology requirements as the primary data for eliciting competency questions; AskCQ dataset.,"Identifying and comparing methods to effectively elicit competency questions from ontology requirements, addressing a gap in how these methods perform or differ.",How do different methods for eliciting competency questions from ontology requirements compare in effectiveness?
A Graph-based RAG system for Enhanced Information Gathering in Local Newsrooms,"knowledge graph
retrieval augmented generation
journalistic knowledge processing
newsroom innovation
RAG evaluation",A graph-based Retrieval Augmented Generation (RAG) system that enhances information gathering in local newsrooms.,Design and implementation of a graph-based RAG system integrating knowledge graph techniques for journalistic knowledge processing.,"Local newsroom data incorporating journalistic knowledge, potentially including news articles and knowledge graphs (specific datasets not specified).",Improving the process of information gathering in local newsrooms by addressing limitations in current systems via enhanced retrieval and knowledge processing.,How can a graph-based RAG system improve information gathering processes in local newsrooms?
A Linked Open Data Service and Semantic Portal to Study the Assembly Minutes and Prosopography of the League of Nations (1920–1946),"knowledge graph
digital humanities
information retrieval
data analysis",A Linked Open Data service and semantic portal focused on the Assembly Minutes and Prosopography of the League of Nations (1920--1946),Use of Linked Open Data technologies and semantic web methodologies to create the portal and data conversion into RDF,Assembly Minutes and prosopographical data of the League of Nations from 1920 to 1946,"Lack of integrated semantic tools and linked open data services to study the Assembly Minutes and prosopography of the League of Nations, specifically around data conversion, data schema, named entity linking, and enrichment",How can Linked Open Data and semantic portals be utilized to study the Assembly Minutes and prosopography of the League of Nations?
A Wikidata-based Workflow for Entity Reconciliation Strategies Evaluation: A Study on Early Modern Polish Personal Names,"Wikidata
Linked Data
Entity Reconcilation
SPARQL",A Wikidata-based workflow for evaluating entity reconciliation strategies applied to early modern Polish personal names,"Evaluation study involving entity reconciliation strategies using a Wikidata-based workflow, likely with the implementation of SPARQL queries",Early modern Polish personal names data and Wikidata as the linked data resource,Lack of effective workflows and evaluation of entity reconciliation strategies for early modern Polish personal names,How effective are Wikidata-based workflows in evaluating entity reconciliation strategies for early modern Polish personal names?
Advancing NL2SPARQL via Agentic Workflow Design and Dynamic URI Grounding,"Question Answering
Knowledge Graphs
NL2SPARQL
Agent
Large Language Models
Scalability
Semantic Parsing",Advancements in NL2SPARQL through agentic workflow design and dynamic URI grounding,Agentic workflow design and dynamic URI grounding techniques applied to enhance natural language to SPARQL translation,Scholarly knowledge graph (DBLP-QuAD),"Improving the scalability and accuracy of natural language question answering over knowledge graphs via NL2SPARQL, addressing challenges in semantic parsing and dynamic URI grounding",How can agentic workflow design and dynamic URI grounding improve NL2SPARQL for question answering over knowledge graphs?
AgentO: An Ontology for Modeling Agentic AI Systems,"Ontology
Agentic AI
LLMs
Knowledge Graph","AgentO, an ontology for modeling agentic AI systems",Ontology development for representing agentic AI systems,"Ontology for agentic systems, SPARQL-accessible KG and an LLM-based extraction pipeline",The need for a structured ontology to represent agentic AI systems effectively,How can an ontology be designed to model agentic AI systems?
An Ecosystem of Knowledge Graph-based Web Services for Greenhouse Gas Assessment,"Sustainability
GHG assessments
Carbon footprint
Life cycle assessment
Knowledge Graph
Knowledge Management",An ecosystem of Knowledge Graph-based web services designed for Greenhouse Gas (GHG) assessment.,Development and integration of Knowledge Graph-based web services for conducting GHG assessments.,"Knowledge Graphs and web services related to GHG assessment, carbon footprint, and life cycle assessment.",The need for an integrated and knowledge-driven approach to assess Greenhouse Gas emissions effectively.,How can Knowledge Graph-based web services be utilized to improve Greenhouse Gas assessment?
Are a Thousand Words Better Than a Single Picture? Beyond Images – A Framework for Multi-Modal Knowledge Graph Dataset Enrichment,"Multi-modal Knowledge Graphs
Link Prediction
Image-to-Text
Dataset Enrichment
Entity Representation",A framework for multi-modal knowledge graph dataset enrichment that goes beyond using single images by incorporating multiple modalities.,Development of a framework integrating image-to-text techniques and link prediction for enriching knowledge graph datasets with multi-modal data.,Multi-modal knowledge graph datasets including images and textual data.,"Current knowledge graph datasets are limited in enrichment because they primarily rely on single images, lacking multi-modal integration for improved entity representation and link prediction.",Are multiple words/texts better than a single picture for knowledge graph dataset enrichment and entity representation?
ArtKB: A Multimodal Art Knowledge Base for Cultural Heritage,"Knowledge Graph
Cultural Heritage
Information Extraction
Semantic Interoperability","ArtKB, a multimodal art knowledge base for cultural heritage, an access to the kb and its services",Information extraction techniques to build the knowledge base with semantic interoperability,Art-related multimodal data for cultural heritage,Lack of a comprehensive multimodal knowledge base for cultural heritage art with semantic interoperability,How to construct a multimodal art knowledge base that supports semantic interoperability for cultural heritage?
Bench4KE: Benchmarking Automated Competency Question Generation,"Benchmark
Knowledge Engineering
Competency Questions
Large Language Models","Bench4KE, a benchmark for automated Competency Question Generation",Benchmarking automated competency question generation using large language models,Bench4KE benchmark datasets,Lack of benchmarking standards for automated competency question generation in knowledge engineering,How to effectively benchmark automated competency question generation?
